Packet Size,IAT,Entropy,Symmetry,Label
687,0.04352147488924997,6.046366617687669,0.5254007549094029,BENIGN
289,0.05089857412713473,6.1614978349689675,0.6957227760164102,BENIGN
64,0.03609351926747201,5.793336622287385,0.7686251749004085,BENIGN
1184,0.08526741353277609,3.491415073652703,0.7346515520216303,BENIGN
247,0.04450962536843354,6.132429239624319,0.7561883392547231,BENIGN
454,0.038875096843956056,1.331029128222415,0.7195603186541333,BENIGN
482,0.036606416514333086,6.3783663973757605,0.973090517587213,BENIGN
64,0.06883249314178047,4.5620900163876,0.45288499403302496,BENIGN
82,0.0797981178441175,7.063589083722563,0.613248562884419,BENIGN
64,0.06074103304505912,5.33907556865316,0.5976868408742744,BENIGN
64,0.018978574939487375,6.255672458179951,0.7475975046532776,BENIGN
64,0.029122858427069544,7.768813806468373,0.38218075675650853,BENIGN
645,0.06135063237890189,5.907074908137499,0.625039534487226,BENIGN
92,0.03171107960777866,5.099135610726919,0.6315053606181681,BENIGN
722,0.04758794395877919,6.627655494274951,1.0,BENIGN
558,0.04674253719935294,5.73315592054404,0.6238588600175394,BENIGN
657,0.06568415146544938,4.704360472962634,0.6448083842015061,BENIGN
1097,0.044178387654627976,6.608910933600781,0.7857256463486261,BENIGN
282,0.02171588234705586,5.815360434683699,0.45635322479496965,BENIGN
392,0.051202375123310925,7.120283911028411,0.6611945386407282,BENIGN
787,0.06299088791384141,5.779169619402241,0.8489169317531129,BENIGN
828,0.05320296589349606,5.870178832955851,0.5694511191069246,BENIGN
503,0.03677139036476674,5.1704095561453975,0.6158605561490759,BENIGN
64,0.07117460914741501,6.384534918307834,0.7875332732382556,BENIGN
226,0.026019491385651176,7.296876235821504,0.7895272362681269,BENIGN
64,0.045733746237445035,6.608818499454622,0.422629426115758,BENIGN
747,0.07527277934575308,8.0,0.6452967914800032,BENIGN
191,0.06544845071956418,2.4090992271454343,0.6270771096938745,BENIGN
268,0.03500648155593028,8.0,0.7821321545917974,BENIGN
536,0.08754947086478607,6.1234430903140336,0.7941352164218592,BENIGN
115,0.08318701690604749,7.581968071767282,0.7674803518990511,BENIGN
902,0.07005683846025253,5.744855027601886,0.532205304800297,BENIGN
64,0.04365309919454668,6.3334752438122495,0.6664541574708407,BENIGN
178,0.041148927007610685,5.775685979930884,0.7175325391650731,BENIGN
168,0.046095588147021506,5.436326610838997,0.43663249630824036,BENIGN
171,0.06700664281559378,5.81019381890025,0.866151132883095,BENIGN
481,0.09503637186418004,4.174103713110099,0.6131074999771643,BENIGN
