Packet Size,IAT,Entropy,Symmetry,Label
117,0.0013731765134588308,1.9121037120180104,0.016362017300161492,DDoS
107,0.0013027171524607009,1.99820450062368,0.08542508121945305,DDoS
78,0.000787578349440375,1.5861887464842668,0.1470856419021714,DDoS
113,0.001291227518586889,2.770412215188861,0.14622589009570078,DDoS
94,0.0010215102909406774,2.6980230165074213,0.09740277181496851,DDoS
91,0.0015177212550770399,1.2623176138631518,0.1405463631275205,DDoS
93,0.0008234211436716453,1.9128145192118071,0.1232115138835894,DDoS
88,0.0012946003140275404,2.04634055859415,0.02007212234527014,DDoS
108,0.0006023393678856361,1.8462808667465491,0.14173982361130233,DDoS
65,0.0009899587375711003,2.9883932467133505,0.15645981364019634,DDoS
71,0.002331447418342892,1.2023543484999712,0.15052611672453045,DDoS
82,0.0012045170058371637,2.51914356143524,0.01934530260055252,DDoS
102,0.0010269780317788938,2.4391161676579136,0.032628292247455004,DDoS
107,0.001152415826593576,1.8180076768050344,0.09166943282297485,DDoS
105,0.0014693906335951806,1.456811005658871,0.19780615593730816,DDoS
90,0.0007709573768683868,2.239058304052862,0.15261801231135663,DDoS
86,0.0021776883607878125,2.8151095355966755,0.04565782644743064,DDoS
127,0.0003302338611440537,1.6945039124931183,0.0150035076767034,DDoS
66,0.00121350942587391,2.21882209173355,0.15019785232903557,DDoS
107,0.0008344379972375921,2.260523779688909,0.015549232999178875,DDoS
101,0.0014061288566620932,1.5975665307181066,0.007346063194531505,DDoS
70,0.00134267336271944,1.981687721040236,0.01860248406064793,DDoS
110,0.0017476798062098604,2.5114285340359093,0.19705249159141688,DDoS
102,0.0001,1.1178068871337246,0.10452938729929294,DDoS
93,0.0003979358135349709,1.8429439592800865,0.12872296219339513,DDoS
88,0.0007301867928481815,1.4756942023561275,0.045159925881821855,DDoS
67,0.0012518848855702246,2.064594116323745,0.1456294147504588,DDoS
102,0.0009192070786944381,2.2654121169498165,0.06500899574719057,DDoS
107,0.0001,1.9844965386988473,0.009759028970437367,DDoS
111,0.0017711535957266936,1.8853839079871977,0.05143501168946059,DDoS
89,0.0013396171500714997,2.0353290710653793,0.16521924613448258,DDoS
80,0.0010871727501038195,2.6042247824740175,0.03203519801913537,DDoS
127,0.0010152829499119648,1.4071301414943216,0.029719234222752047,DDoS
127,0.0011494174192630841,1.2409846076191537,0.1594017285031013,DDoS
81,0.0016595479038348183,2.1698494311702925,0.02326472935749324,DDoS
114,0.0008499785686923784,1.660161842862251,0.02980135717432031,DDoS
81,0.00034432085063871394,2.2892693672483055,0.019676543027306394,DDoS
85,0.000853981372634799,2.1944794833930708,0.0226857223199358,DDoS
94,0.00041480495512140553,1.5355866632014539,0.13444929867074568,DDoS
116,0.0013865285978133467,1.431484758031405,0.01776921361398689,DDoS
108,0.0016108213538465737,1.5655248773018455,0.052100370511020705,DDoS
99,0.0010066544230574793,2.8666498389152673,0.046630011775037165,DDoS
74,0.0017649938860464067,2.2317107943171743,0.11801168897658679,DDoS
81,0.0006627020035986011,1.8623428796598431,0.046533530697517714,DDoS
98,0.0021556638680043454,1.513238126392122,0.06320100084446974,DDoS
94,0.0005069530287201432,1.7347832569786081,0.19059467936828023,DDoS
115,0.0016761859124734867,1.9695961058615576,0.004164306839870147,DDoS
70,0.0014354811435072132,2.7833023974772835,0.11532441891264773,DDoS
71,0.0007899829369729662,2.617825172198039,0.09571580666449422,DDoS
102,0.001211012631839558,1.3361587837261204,0.10872393137416717,DDoS
121,0.0005708147063716456,2.933265983801924,0.11232713876536887,DDoS
66,0.0006494628195847874,1.8755474253108966,0.04326758341124415,DDoS
107,0.001528373419103543,1.7678185753619047,0.025260848271113523,DDoS
90,0.0010553276667958813,1.2251984739151827,0.05875205160865915,DDoS
123,0.0013413253489349781,2.7719792938251877,0.19999944976006578,DDoS
